Column Name,Possible Values
files.type,"ADF, AVI, BAI, BAM, BCR Biotab, BED, bedgraph, BEDPE Format, bigBed, bigWig, Binary Format, BIOM, cdf, CEL, CNS, CRAI, CRAM, CSV, DICOM, DICT, DOC, DOCX, DSV, FASTA, FASTQ, GCT/Res Format, GenBank Format, GFF3, GPR, GTF, gVCF, GZIP Format, HDF5, HIC, HTML, HTSeq Count, IDAT, IDF, idpDB, JPEG, JPEG 2000, JSON, MAF, MAGE-TAB, MAT, MATLAB Script, MEX, MPEG-4, mtx, mzIdentML, mzML, mzXML, NIFTI Format, OME-TIFF, PDF, PED, Plain Text Data Format, PNG, Python Script Format, R File Format, R Markdown, rds, RTF, SDRF, SEG, Sequence Record Format, SVG, SVS, TAR, TBI, Thermo RAW, TIFF, TSV, TXT, VCF, XLS, XLSX, XML, YAML, ZIP"
namespaces.study_id,"AALL0232, AALL0331, AALL03B1, AALL0434, AALL08B1, AAML03P1, AAML0531, AAML1031, AEIOPAML2002, AEWS0031, AEWS0331, AEWS07P1, AEWS1031, AEWS1221, AGCT0132, AGCT01P1, AGCT0521, AHOD0031, AHOD03P1, AHOD0431, AHOD0831, AHOD1221, AHOD1331, AIEOPLAM92, AMLBFM-Registry2012, AMLBFM1998, AMLBFM2004, AMLBFM2012, AMLBFMRegistry2017, AOST0121, AOST01P1, AOST0221, AOST0331/EURAMOS1, AOST1321, AOST1421, CCG-782, CCG-7942, DBAML01, EE99, EICESS92, GC1, GC2, GOG0078, GOG0090, GOG0116, INT133, JACLSAML99, JPLSGAML05, MRCAML12, MRCAML15, NOPHOAML2004, NOPHOAML2012, OS2006, P9749, P9754, POG9049, PPLLSGAML98, REGOBONE, Sarcome13/OS2016, SCFEELAM02, SJCRHAML02, TCGM2004, TE04, TE05, TE08, TE09, TE13, TE20, TE22, TGM85, TGM90, TGM95, TIP"
organizations.institution,"AIEOP, BFM-SG, BOCG, C3P, CBTN, CCLG, CHLA, COG, COSS-GPOH, CRCTU, CWS, DCOG, DePICT, DFCI, EORTC, EpSSG, EuRBG, EURO-EWING, FSG, GALOP, GEIS, GPOH, IDIPGR, ISG, JACLS, JCCG, JINCS, JNBSG, JPLSG, MRC, NOPHO, NRG-Oncology, PNOC, PPLLSG, RBTR, SFCE, SIOP MMT, SIOPE, SIOPEN, SJCRH, SOPOBE, SSG, Treehouse, UCL, UK"
samples.disease_phase,"Post-Mortem, Not Reported, Unknown, Initial Diagnosis, Progression, Refractory, Relapse, Relapse/Progression"
samples.library_source_material,"Bulk Cells, Bulk Nuclei, Bulk Tissue, Single-cells, Single-nuclei, Not Reported"
samples.library_strategy,"AMPLICON, ATAC-Seq, Bisulfite-Seq, ChIA-PET, ChIP-Seq, CLONE, CLONEEND, CTS, DNA-Seq, DNase-Hypersensitivity, EST, FAIRE-seq, FINISHING, FL-cDNA, Hi-C, MBD-Seq, MeDIP-Seq, miRNA-Seq, MNase-Seq, MRE-Seq, ncRNA-Seq, Other, POOLCLONE, RAD-Seq, RIP-Seq, RNA-Seq, SELEX, snATAC-Seq, ssRNA-seq, Synthetic-Long-Read, Targeted-Capture, Tethered Chromatin Conformation Capture, Tn-Seq, WCS, WGA, WGS, WXS"
samples.specimen_molecular_analyte_type,"Protein, DNA, RNA"
samples.tissue_type,"Not Reported, Normal, Peritumoral, Tumor, Unknown"
samples.tumor_classification,"Metastatic, Not Reported, Primary, Regional, Unknown"
samples.library_selection_method,"Random PCR, PCR, Random, Hybrid Selection, Unspecified, rRNA Depletion, Not applicable, Poly-A Enriched Genomic Library"
samples.preservation_method,"-80 degrees C, Cryopreserved, EDTA, FFPE, Formalin Fixed - Buffered, Formalin Fixed - Unbuffered, Fresh, Fresh Dissociated, Fresh Dissociated and Single Cell Sorted, Fresh Dissociated and Single Cell Sorted into Plates, Frozen, Liquid Nitrogen, Not Reported, OCT, Snap Frozen, Unknown"
samples.tumor_grade,"G1 Low Grade, G2 Intermediate Grade, G3 High Grade, G4 Anaplastic, GB Borderline, GX Grade Cannot Be Assessed, Not Applicable, Not Reported, Unknown"
subjects.race,"Not allowed to collect, Native Hawaiian or other Pacific Islander, Not Reported, Unknown, American Indian or Alaska Native, Asian, Black or African American, White"
subjects.sex,"U, F, M, UNDIFFERENTIATED"
subjects.vital_status,"Not reported, Alive, Dead, Unknown, Unspecified"
subjects.ethnicity,"Not allowed to collect, Hispanic or Latino, Not Hispanic or Latino, Unknown, Not reported"
subjects.kind,"Participant, Patient Derived Xenograft, Cell Line, Organoid"
