namespace_organization,namespace_name,file_name,sample_namespace_organization,sample_namespace_name,sample_names,type,size,md5_checksum,description
IUSCCC,PST001,CRF000001.bam,IUSCCC,PST001,3,BAM,368562,,magna et dolore sed sit
IUSCCC,PST001,CRF000002.bam,IUSCCC,PST001,8,BAM,378631,,ut sit sed labore et
IUSCCC,PST001,CRF000003.bam,IUSCCC,PST001,12,BAM,459441,,eiusmod dolore ipsum magna consectetur
IUSCCC,PST001,CRF000004.bam,IUSCCC,PST001,14,BAM,133647,,et ipsum et aliqua incididunt
IUSCCC,PST001,CRF000005.bam,IUSCCC,PST001,17,BAM,284064,,do do eiusmod labore labore
IUSCCC,PST001,CRF000006.bam,IUSCCC,PST001,21,BAM,155254,,consectetur lorem sed amet ut
IUSCCC,PST001,CRF000007.bam,IUSCCC,PST001,27,BAM,121972,,incididunt incididunt tempor amet ut
IUSCCC,PST001,CRF000008.bam,IUSCCC,PST001,32,BAM,10099,,elit et do sit eiusmod
IUSCCC,PST001,CRF000009.bam,IUSCCC,PST001,33,BAM,29881,,do aliqua lorem eiusmod consectetur
IUSCCC,PST001,CRF000010.bam,IUSCCC,PST001,40,BAM,10498,,ut do labore do sed
IUSCCC,PST001,CRF000011.bam,IUSCCC,PST001,42,BAM,150828,,ut elit tempor incididunt labore
IUSCCC,PST001,CRF000012.bam,IUSCCC,PST001,45,BAM,250657,,adipiscing ipsum et adipiscing dolore
IUSCCC,PST001,CRF000013.bam,IUSCCC,PST001,49,BAM,378573,,sit dolore et labore labore
IUSCCC,PST001,CRF000014.bam,IUSCCC,PST001,56,BAM,38757,,consectetur amet et aliqua eiusmod
IUSCCC,PST001,CRF000015.bam,IUSCCC,PST001,59,BAM,1289,,adipiscing magna tempor ipsum sed
IUSCCC,PST001,CRF000016.bam,IUSCCC,PST001,62,BAM,462033,,ipsum adipiscing magna et ipsum
IUSCCC,PST001,CRF000017.bam,IUSCCC,PST001,63,BAM,492057,,consectetur ut consectetur aliqua do
IUSCCC,PST001,CRF000018.bam,IUSCCC,PST001,70,BAM,109625,,sit dolore amet consectetur adipiscing
IUSCCC,PST001,CRF000019.bam,IUSCCC,PST001,72,BAM,336862,,adipiscing dolore ipsum aliqua tempor
IUSCCC,PST001,CRF000020.bam,IUSCCC,PST001,75,BAM,376353,,consectetur lorem aliqua dolore ut
IUSCCC,PST001,CRF000021.bam,IUSCCC,PST001,80,BAM,420745,,labore sed et sed sit
IUSCCC,PST001,CRF000022.bam,IUSCCC,PST001,83,BAM,297505,,magna tempor elit tempor adipiscing
IUSCCC,PST001,CRF000023.bam,IUSCCC,PST001,85,BAM,275098,,consectetur magna tempor et eiusmod
IUSCCC,PST001,CRF000024.bam,IUSCCC,PST001,88,BAM,136868,,magna incididunt dolor sit dolore
IUSCCC,PST001,CRF000025.bam,IUSCCC,PST001,90,BAM,70243,,ipsum dolor magna amet sed
IUSCCC,PST001,CRF000026.bam,IUSCCC,PST001,92,BAM,349861,,et do dolore et do
IUSCCC,PST001,CRF000027.bam,IUSCCC,PST001,94,BAM,430402,,tempor magna et dolore elit
IUSCCC,PST001,CRF000028.bam,IUSCCC,PST001,104,BAM,45719,,et sit lorem tempor dolore
IUSCCC,PST001,CRF000029.bam,IUSCCC,PST001,108,BAM,169848,,magna dolor et sed elit
IUSCCC,PST001,CRF000030.bam,IUSCCC,PST001,115,BAM,145654,,sed ipsum et incididunt amet
IUSCCC,PST001,CRF000031.bam,IUSCCC,PST001,120,BAM,73002,,dolor incididunt dolore consectetur lorem
IUSCCC,PST001,CRF000032.bam,IUSCCC,PST001,125,BAM,469980,,dolore elit ut amet ipsum
IUSCCC,PST001,CRF000033.bam,IUSCCC,PST001,121,BAM,39987,,lorem ut et magna ut
IUSCCC,PST001,CRF000034.bam,IUSCCC,PST001,130,BAM,260595,,amet do magna lorem et
IUSCCC,PST001,CRF000035.bam,IUSCCC,PST001,132,BAM,392384,,incididunt elit incididunt ut adipiscing
IUSCCC,PST001,CRF000036.bam,IUSCCC,PST001,135,BAM,63978,,eiusmod amet incididunt adipiscing ipsum
IUSCCC,PST001,CRF000037.bam,IUSCCC,PST001,138,BAM,63361,,tempor dolor adipiscing amet sit
